
=== Experiment 13: full David-review stopping-rule comparison ===
# T4 fits OLS to the preceding log-dQ window and compares the current trend-extrapolation residual with the fitted-residual scale. T5 applies CUSUM/SR to the same standardized residual stream; h is calibrated once on ER nulls, rather than swept per real graph.
# `mad` uses 1.4826*MAD and suppresses a near-flat window when its relative scale is below 1e-6; `defer` begins testing only after no mergeable singleton community remains. BM-native-stop is separate: it tests Eq. 6 on CNM's selected community pair with adaptive tau.
dataset	method	modifier	W	parameter	sided	stop_at	of_merges	stop_frac	K_all	K_ge3	Q	F1	NMI	frac_nonsingleton
    ...5000 merges, heap 71026, nbr_entries 89736 (max deg 67), 31 ms
    ...5000 merges, heap 70739, nbr_entries 89450 (max deg 56), 25 ms
    ...5000 merges, heap 70811, nbr_entries 89440 (max deg 52), 27 ms
    ...5000 merges, heap 69124, nbr_entries 90102 (max deg 57), 27 ms
    ...5000 merges, heap 69775, nbr_entries 90366 (max deg 90), 26 ms
    ...5000 merges, heap 69119, nbr_entries 89932 (max deg 60), 29 ms
    ...5000 merges, heap 71568, nbr_entries 90000 (max deg 43), 31 ms
    ...5000 merges, heap 68499, nbr_entries 90382 (max deg 46), 30 ms
    ...5000 merges, heap 69601, nbr_entries 90090 (max deg 51), 26 ms
    ...5000 merges, heap 69609, nbr_entries 90546 (max deg 47), 27 ms
# CUSUM calibration (delta=1, W=15): selected h=50.000 by the >=90% mean-ARL rule.
CALIBRATION	T5-cusum	-	15	2.000	1	30.725	4489.500	0.007	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	5.000	1	46.075	4489.500	0.010	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	10.000	1	77.300	4489.500	0.017	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	20.000	1	2009.100	4489.500	0.448	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	50.000	1	4233.375	4489.500	0.943	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	100.000	1	4489.500	4489.500	1.000	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	200.000	1	4489.500	4489.500	1.000	NA	NA	NA	NA	NA	NA
ER-1000	T1-2sided-k1	none	10	1.000	2	10.000	991.500	0.010	990.000	0.000	0.001	NA	NA	0.020
