dataset,method,K,modularity_Q,F1,NMI
Karate,Louvain,4,0.4198,0.7012,0.5878
Karate,Leiden,4,0.4198,0.7012,0.5878
Karate,GRAZ (t=2),17,0.1765,0.2849,0.3607
Karate,GRAZ (t=3),27,0.0569,0.2181,0.3552
PolBlogs,Louvain,3,0.3607,0.8323,0.9755
PolBlogs,Leiden,3,0.3607,0.8323,0.9755
PolBlogs,GRAZ (t=2),22,0.2829,0.4054,0.3286
PolBlogs,GRAZ (t=3),93,0.21,0.0771,0.1647
SNAP email-Eu-core,Louvain,8,0.4134,0.4332,0.6045
SNAP email-Eu-core,Leiden,8,0.4134,0.4332,0.6045
SNAP email-Eu-core,GRAZ (t=2),13,0.4108,0.3578,0.6182
SNAP email-Eu-core,GRAZ (t=3),32,0.3984,0.3655,0.6651
SNAP com-Amazon,Louvain,595,0.9957,0.9511,0.991
SNAP com-Amazon,Leiden,595,0.9957,0.9511,0.991
SNAP com-Amazon,GRAZ (t=2),607,0.9954,0.952,0.991
SNAP com-Amazon,GRAZ (t=3),616,0.9949,0.9499,0.9898
SNAP com-DBLP,Louvain,353,0.9834,0.5978,0.8816
SNAP com-DBLP,Leiden,353,0.9834,0.5978,0.8816
SNAP com-DBLP,GRAZ (t=2),482,0.9816,0.6711,0.9164
SNAP com-DBLP,GRAZ (t=3),561,0.9794,0.7131,0.9283
