
=== Experiment 9: rolling-window dQ stopping rule (large graphs) ===

-- amazon_full (N=334863, M=925872, CNM merges=333311, trace_ms=81794)
method	W	k	sided	stop_at	of_merges	frac	K	Q	F1	NMI
CNM-full	-	-	-	333311	333311	1.000	1552	0.868	0.638	0.890
roll-1sided	10	1.75	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	1.75	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	10	1.90	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	1.90	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	10	2.00	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	2.00	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	10	2.50	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	2.50	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	1.75	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	1.75	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	1.90	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	1.90	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	2.00	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	2.00	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	2.50	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	2.50	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	20	1.75	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	1.75	2	2449	333311	0.007	332414	0.003	0.241	0.822
roll-1sided	20	1.90	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	1.90	2	2449	333311	0.007	332414	0.003	0.241	0.822
roll-1sided	20	2.00	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	2.00	2	2449	333311	0.007	332414	0.003	0.241	0.822
roll-1sided	20	2.50	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	2.50	2	2449	333311	0.007	332414	0.003	0.241	0.822
leiden-roll-1sided	15	2.00	1	32	32	-	334831	0.000	0.240	0.822	(total_ms=880)
leiden-roll-2sided	15	2.00	2	32	32	-	334831	0.000	0.240	0.822	(total_ms=875)

