
=== Experiment 9: rolling-window dQ stopping rule (large graphs) ===

-- dblp_full (N=317080, M=1049866, CNM merges=313922, trace_ms=313803)
method	W	k	sided	stop_at	of_merges	frac	K	Q	F1	NMI
CNM-full	-	-	-	313922	313922	1.000	3158	0.733	0.351	0.495
roll-1sided	10	1.75	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	1.75	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	10	1.90	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	1.90	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	10	2.00	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	2.00	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	10	2.50	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	2.50	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	15	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	1.75	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	15	1.90	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	1.90	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	15	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	2.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	15	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	2.50	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	1.75	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	1.90	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	1.90	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	2.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	2.50	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	10	1.75	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-log	10	2.00	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-log	10	2.50	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-log	15	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	15	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	15	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	20	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	20	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	20	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-rel25	15	2.00	1	30319	313922	0.097	286761	0.040	0.183	0.718
roll-rel50	15	2.00	1	30319	313922	0.097	286761	0.040	0.183	0.718
roll-rel25	15	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
roll-rel50	15	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
roll-rel25	20	2.00	1	30350	313922	0.097	286730	0.040	0.183	0.718
roll-rel50	20	2.00	1	30350	313922	0.097	286730	0.040	0.183	0.718
roll-rel25	20	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
roll-rel50	20	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
leiden-roll-1sided	15	2.00	1	16	16	-	317064	0.000	0.167	0.716	(total_ms=1031)
leiden-roll-2sided	15	2.00	2	16	16	-	317064	0.000	0.167	0.716	(total_ms=1149)
