
=== Experiment 11: rolling-window rule on ER nulls (Corollary 1) ===
  (ER has NO communities: true K = 0, lower is better. K counts size>=3.)
N	m	method	W	k	sided	K_ge3	K_all	Q	stop_frac
1000	4984	CNM-full	-	-	-	8.667	8.667	0.281	1.000
1000	4984	GRAZ t=2	-	-	-	58.000	58.000	0.256	1.000
1000	4984	Louvain	-	-	-	14.000	14.000	0.279	1.000
1000	4984	roll-1sided W=10 k=1.75	10	1.75	1	0.333	982.000	0.003	0.018
1000	4984	roll-1sided W=10 k=2.00	10	2.00	1	0.333	982.000	0.003	0.018
1000	4984	roll-1sided W=10 k=2.50	10	2.50	1	0.667	975.000	0.004	0.025
1000	4984	roll-1sided W=15 k=1.75	15	1.75	1	1.000	963.667	0.006	0.037
1000	4984	roll-1sided W=15 k=2.00	15	2.00	1	1.000	961.667	0.007	0.039
1000	4984	roll-1sided W=15 k=2.50	15	2.50	1	1.000	961.667	0.007	0.039
1000	4984	roll-1sided W=20 k=1.75	20	1.75	1	1.667	938.000	0.012	0.063
1000	4984	roll-1sided W=20 k=2.00	20	2.00	1	7.000	795.000	0.052	0.207
1000	4984	roll-1sided W=20 k=2.50	20	2.50	1	3.333	632.000	0.102	0.371
1000	4984	roll-2sided W=10 k=1.75	10	1.75	2	0.000	986.333	0.002	0.014
1000	4984	roll-2sided W=10 k=2.00	10	2.00	2	0.000	986.333	0.002	0.014
1000	4984	roll-2sided W=10 k=2.50	10	2.50	2	0.000	983.000	0.002	0.017
1000	4984	roll-2sided W=15 k=1.75	15	1.75	2	0.333	982.667	0.002	0.017
1000	4984	roll-2sided W=15 k=2.00	15	2.00	2	0.333	981.333	0.003	0.019
1000	4984	roll-2sided W=15 k=2.50	15	2.50	2	0.333	981.333	0.003	0.019
1000	4984	roll-2sided W=20 k=1.75	20	1.75	2	0.667	963.667	0.006	0.037
1000	4984	roll-2sided W=20 k=2.00	20	2.00	2	0.667	963.667	0.006	0.037
1000	4984	roll-2sided W=20 k=2.50	20	2.50	2	0.667	962.333	0.007	0.038
1000	4984	roll-log   W=10 k=1.75	10	1.75	1	0.333	982.000	0.003	0.018
1000	4984	roll-log   W=10 k=2.00	10	2.00	1	0.333	982.000	0.003	0.018
