
=== Experiment 9: rolling-window dQ stopping rule (large graphs) ===

-- livejournal (N=3997962, M=34681189, CNM merges=200000, trace_ms=5096491, TRUNCATED at merge budget)
   NOTE: agglomeration stopped at a merge budget, so the reference row is a PREFIX, not argmax Q. Stopping-rule rows that cut before the budget are still exact.
method	W	k	sided	stop_at	of_merges	frac	K	Q	F1	NMI
CNM-prefix	-	-	-	200000	200000	1.000	3797962	0.061	0.181	0.805
roll-1sided	10	1.75	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	10	1.75	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-1sided	10	1.90	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	10	1.90	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-1sided	10	2.00	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	10	2.00	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-1sided	10	2.50	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	10	2.50	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-1sided	15	1.75	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-2sided	15	1.75	2	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-1sided	15	1.90	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-2sided	15	1.90	2	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-1sided	15	2.00	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-2sided	15	2.00	2	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-1sided	15	2.50	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-2sided	15	2.50	2	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-1sided	20	1.75	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	20	1.75	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-1sided	20	1.90	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	20	1.90	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-1sided	20	2.00	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	20	2.00	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-1sided	20	2.50	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-2sided	20	2.50	2	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-log	10	1.75	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-log	10	2.00	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-log	10	2.50	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-log	15	1.75	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-log	15	2.00	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-log	15	2.50	1	26396	200000	0.132	3971566	0.001	0.178	0.811
roll-log	20	1.75	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-log	20	2.00	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-log	20	2.50	1	26397	200000	0.132	3971565	0.001	0.178	0.811
roll-rel25	15	2.00	1	194124	200000	0.971	3803838	0.057	0.181	0.806
roll-rel50	15	2.00	1	194126	200000	0.971	3803836	0.057	0.181	0.806
roll-rel25	15	2.50	1	194124	200000	0.971	3803838	0.057	0.181	0.806
roll-rel50	15	2.50	1	194126	200000	0.971	3803836	0.057	0.181	0.806
roll-rel25	20	2.00	1	194124	200000	0.971	3803838	0.057	0.181	0.806
roll-rel50	20	2.00	1	194126	200000	0.971	3803836	0.057	0.181	0.806
roll-rel25	20	2.50	1	194124	200000	0.971	3803838	0.057	0.181	0.806
roll-rel50	20	2.50	1	194126	200000	0.971	3803836	0.057	0.181	0.806
leiden-roll-1sided	15	2.00	1	18	18	-	3997944	-0.000	0.178	0.811	(total_ms=44298)
leiden-roll-2sided	15	2.00	2	18	18	-	3997944	-0.000	0.178	0.811	(total_ms=47500)
