
=== Experiment 9: rolling-window dQ stopping rule (large graphs) ===

-- youtube (N=1134890, M=2987624, CNM merges=1114855, trace_ms=8714654)
method	W	k	sided	stop_at	of_merges	frac	K	Q	F1	NMI
CNM-full	-	-	-	1114855	1114855	1.000	20035	0.668	0.293	0.405
roll-1sided	10	1.75	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	10	1.75	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	10	1.90	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	10	1.90	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	10	2.00	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	10	2.00	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	10	2.50	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	10	2.50	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	15	1.75	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	15	1.75	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	15	1.90	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	15	1.90	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	15	2.00	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	15	2.00	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	15	2.50	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	15	2.50	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	20	1.75	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	20	1.75	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	20	1.90	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	20	1.90	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	20	2.00	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	20	2.00	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-1sided	20	2.50	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-2sided	20	2.50	2	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-log	10	1.75	1	40306	1114855	0.036	1094584	0.013	0.316	0.828
roll-log	10	2.00	1	40306	1114855	0.036	1094584	0.013	0.316	0.828
roll-log	10	2.50	1	40306	1114855	0.036	1094584	0.013	0.316	0.828
roll-log	15	1.75	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-log	15	2.00	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-log	15	2.50	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-log	20	1.75	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-log	20	2.00	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-log	20	2.50	1	40305	1114855	0.036	1094585	0.013	0.316	0.828
roll-rel25	15	2.00	1	192020	1114855	0.172	942870	0.152	0.329	0.779
roll-rel50	15	2.00	1	418141	1114855	0.375	716749	0.451	0.315	0.578
roll-rel25	15	2.50	1	192020	1114855	0.172	942870	0.152	0.329	0.779
roll-rel50	15	2.50	1	418141	1114855	0.375	716749	0.451	0.315	0.578
roll-rel25	20	2.00	1	182004	1114855	0.163	952886	0.144	0.330	0.786
roll-rel50	20	2.00	1	412571	1114855	0.370	722319	0.448	0.314	0.580
roll-rel25	20	2.50	1	352114	1114855	0.316	782776	0.388	0.306	0.629
roll-rel50	20	2.50	1	418141	1114855	0.375	716749	0.451	0.315	0.578
leiden-roll-1sided	15	2.00	1	20	20	-	1134870	-0.000	0.314	0.828	(total_ms=3418)
leiden-roll-2sided	15	2.00	2	20	20	-	1134870	-0.000	0.314	0.828	(total_ms=3458)
