
=== Experiment 9: rolling-window dQ stopping rule (large graphs) ===

-- amazon_full (N=334863, M=925872, CNM merges=333311, trace_ms=80827)
method	W	k	sided	stop_at	of_merges	frac	K	Q	F1	NMI
CNM-full	-	-	-	333311	333311	1.000	1552	0.868	0.638	0.890
roll-1sided	10	1.75	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	1.75	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	10	1.90	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	1.90	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	10	2.00	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	2.00	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	10	2.50	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	10	2.50	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	1.75	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	1.75	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	1.90	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	1.90	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	2.00	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	2.00	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	15	2.50	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-2sided	15	2.50	2	2448	333311	0.007	332415	0.003	0.241	0.822
roll-1sided	20	1.75	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	1.75	2	2449	333311	0.007	332414	0.003	0.241	0.822
roll-1sided	20	1.90	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	1.90	2	2449	333311	0.007	332414	0.003	0.241	0.822
roll-1sided	20	2.00	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	2.00	2	2449	333311	0.007	332414	0.003	0.241	0.822
roll-1sided	20	2.50	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-2sided	20	2.50	2	2449	333311	0.007	332414	0.003	0.241	0.822
roll-log	10	1.75	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-log	10	2.00	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-log	10	2.50	1	2449	333311	0.007	332414	0.003	0.241	0.822
roll-log	15	1.75	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-log	15	2.00	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-log	15	2.50	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-log	20	1.75	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-log	20	2.00	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-log	20	2.50	1	2448	333311	0.007	332415	0.003	0.241	0.822
roll-rel25	15	2.00	1	13000	333311	0.039	321863	0.015	0.272	0.824
roll-rel50	15	2.00	1	13367	333311	0.040	321496	0.017	0.272	0.824
roll-rel25	15	2.50	1	13081	333311	0.039	321782	0.016	0.272	0.824
roll-rel50	15	2.50	1	13367	333311	0.040	321496	0.017	0.272	0.824
roll-rel25	20	2.00	1	13081	333311	0.039	321782	0.016	0.272	0.824
roll-rel50	20	2.00	1	13367	333311	0.040	321496	0.017	0.272	0.824
roll-rel25	20	2.50	1	13081	333311	0.039	321782	0.016	0.272	0.824
roll-rel50	20	2.50	1	13367	333311	0.040	321496	0.017	0.272	0.824
T1-2sided-k1	10	1.00	2	2448	333311	0.007	332415	0.003	0.241	0.822
T1-2sided-k1	15	1.00	2	2448	333311	0.007	332415	0.003	0.241	0.822
T1-2sided-k1	20	1.00	2	2449	333311	0.007	332414	0.003	0.241	0.822
T2-short-1sided	5	3.00	1	12927	333311	0.039	321936	0.015	0.272	0.824
T2-short-2sided	5	3.00	2	12903	333311	0.039	321960	0.015	0.272	0.824
T2-short-1sided	5	4.00	1	12927	333311	0.039	321936	0.015	0.272	0.824
T2-short-2sided	5	4.00	2	12903	333311	0.039	321960	0.015	0.272	0.824
T2-short-1sided	5	5.00	1	12927	333311	0.039	321936	0.015	0.272	0.824
T2-short-2sided	5	5.00	2	12903	333311	0.039	321960	0.015	0.272	0.824
T2-short-1sided	7	3.00	1	13000	333311	0.039	321863	0.015	0.272	0.824
